,binary,n,exec_time,launch_time
0,01_seperate_kernels,65536,11.5146,13.2044
1,01_seperate_kernels,131072,15.0684,12.8376
2,01_seperate_kernels,262144,22.0914,12.694600000000001
3,01_seperate_kernels,524288,35.8266,14.384
4,01_seperate_kernels,1048576,66.2976,19.5714
5,01_seperate_kernels,2097152,131.0946,19.980900000000002
6,02_atomic_kernel,65536,7.7364,7.4588
7,02_atomic_kernel,131072,11.3522,7.2189
8,02_atomic_kernel,262144,18.609299999999998,7.4962
9,02_atomic_kernel,524288,32.8542,8.4472
10,02_atomic_kernel,1048576,64.3538,8.9075
11,02_atomic_kernel,2097152,127.19489999999999,9.2633
12,03_atomic_kernel_cascade,65536,8.7317,7.2424
13,03_atomic_kernel_cascade,131072,8.958200000000001,7.432300000000001
14,03_atomic_kernel_cascade,262144,8.9646,7.1189
15,03_atomic_kernel_cascade,524288,8.9892,8.1875
16,03_atomic_kernel_cascade,1048576,9.0402,8.5692
17,03_atomic_kernel_cascade,2097152,16.3431,8.7488
18,04_atomic_kernel_opt,65536,7.575399999999999,7.2932
19,04_atomic_kernel_opt,131072,7.8054,7.2379
20,04_atomic_kernel_opt,262144,7.815300000000001,7.2156
21,04_atomic_kernel_opt,524288,7.8276,8.331299999999999
22,04_atomic_kernel_opt,1048576,7.8837,9.0634
23,04_atomic_kernel_opt,2097152,13.9925,8.735
24,05_atomic_kernel_seq_address,65536,7.2283,7.2764
25,05_atomic_kernel_seq_address,131072,7.447100000000001,7.3772
26,05_atomic_kernel_seq_address,262144,7.4521999999999995,7.3321000000000005
27,05_atomic_kernel_seq_address,524288,7.4768,7.895899999999999
28,05_atomic_kernel_seq_address,1048576,7.5221,8.579799999999999
29,05_atomic_kernel_seq_address,2097152,13.2812,8.722
30,06_atomic_kernel_loop_unroll,65536,6.5488,7.2566999999999995
31,06_atomic_kernel_loop_unroll,131072,6.7746,7.309699999999999
32,06_atomic_kernel_loop_unroll,262144,6.7805,7.3185
33,06_atomic_kernel_loop_unroll,524288,6.8021,8.2295
34,06_atomic_kernel_loop_unroll,1048576,6.8428,7.7973
35,06_atomic_kernel_loop_unroll,2097152,11.9413,8.679200000000002
36,07_atomic_kernel_shuffle,65536,6.1897,7.2973
37,07_atomic_kernel_shuffle,131072,6.400600000000001,7.1836
38,07_atomic_kernel_shuffle,262144,6.4098999999999995,7.545100000000001
39,07_atomic_kernel_shuffle,524288,6.507,8.2465
40,07_atomic_kernel_shuffle,1048576,7.34,8.0245
41,07_atomic_kernel_shuffle,2097152,12.0462,8.683
